frame,camera,psnr,d_ssim,lpips
2,cam00,27.215042114257812,0.09005707502365112,0.2068994641304016
2,cam09,21.937702178955078,0.1822197437286377,0.2621723413467407
2,cam19,24.014434814453125,0.15935903787612915,0.2677692472934723
3,cam00,27.15762710571289,0.09109729528427124,0.20875462889671326
3,cam09,22.00298500061035,0.18414121866226196,0.2629120945930481
3,cam19,24.159196853637695,0.16159188747406006,0.2709263265132904
4,cam00,27.151805877685547,0.09086346626281738,0.20606064796447754
4,cam09,22.107805252075195,0.18310266733169556,0.2566121220588684
4,cam19,24.12199592590332,0.16175603866577148,0.26825106143951416
5,cam00,27.09918785095215,0.09317058324813843,0.2112559676170349
5,cam09,22.068952560424805,0.18511372804641724,0.26349008083343506
5,cam19,24.11736488342285,0.16464829444885254,0.2741719186306
6,cam00,27.264678955078125,0.09023994207382202,0.20536616444587708
6,cam09,22.115835189819336,0.18321162462234497,0.2558395564556122
6,cam19,24.182886123657227,0.16264432668685913,0.26856619119644165
7,cam00,27.295223236083984,0.09120577573776245,0.2080622911453247
7,cam09,22.089181900024414,0.18388867378234863,0.2565648555755615
7,cam19,24.20555305480957,0.1637721061706543,0.27124297618865967
8,cam00,27.326934814453125,0.08994096517562866,0.20504003763198853
8,cam09,22.105438232421875,0.1843891739845276,0.25684723258018494
8,cam19,24.240978240966797,0.16382664442062378,0.27097246050834656
9,cam00,27.2556209564209,0.09210008382797241,0.20939967036247253
9,cam09,22.124929428100586,0.18525779247283936,0.2594524323940277
9,cam19,24.128883361816406,0.16674929857254028,0.2736383378505707
10,cam00,27.36476707458496,0.08874088525772095,0.20426273345947266
10,cam09,22.16196060180664,0.183355450630188,0.25157788395881653
10,cam19,24.14506721496582,0.16412216424942017,0.269486665725708
11,cam00,27.362218856811523,0.08953487873077393,0.2035619467496872
11,cam09,22.161752700805664,0.1841701865196228,0.25272974371910095
11,cam19,24.10015106201172,0.1651783585548401,0.2710033059120178
12,cam00,27.426408767700195,0.08840543031692505,0.2025015503168106
12,cam09,22.142974853515625,0.18359482288360596,0.25075122714042664
12,cam19,24.074813842773438,0.164964497089386,0.26789969205856323
13,cam00,27.38941764831543,0.09047138690948486,0.20651963353157043
13,cam09,22.133743286132812,0.1843968629837036,0.2541723847389221
13,cam19,23.996355056762695,0.16806870698928833,0.2736978232860565
14,cam00,27.451513290405273,0.08852964639663696,0.20399858057498932
14,cam09,22.152070999145508,0.18332713842391968,0.25179773569107056
14,cam19,24.05369758605957,0.16617083549499512,0.26899340748786926
15,cam00,27.364669799804688,0.0887749195098877,0.20455524325370789
15,cam09,22.14208984375,0.18418467044830322,0.25331562757492065
15,cam19,24.059858322143555,0.16729092597961426,0.27276182174682617
16,cam00,27.185461044311523,0.09237396717071533,0.21038776636123657
16,cam09,22.100133895874023,0.18562078475952148,0.25659310817718506
16,cam19,23.977441787719727,0.1702163815498352,0.2772029638290405
17,cam00,27.355552673339844,0.09039151668548584,0.20823892951011658
17,cam09,22.111515045166016,0.18556952476501465,0.2561822235584259
17,cam19,23.952472686767578,0.1697048544883728,0.27521032094955444
18,cam00,27.30274200439453,0.08939182758331299,0.20530450344085693
18,cam09,22.145570755004883,0.18397754430770874,0.25224044919013977
18,cam19,23.9659481048584,0.16787797212600708,0.2719448208808899
19,cam00,27.335105895996094,0.09009331464767456,0.2076062262058258
19,cam09,22.132396697998047,0.18459653854370117,0.25221893191337585
19,cam19,23.95905113220215,0.1683727502822876,0.27374690771102905
20,cam00,27.37015724182129,0.08928567171096802,0.2073334902524948
20,cam09,22.151996612548828,0.18513834476470947,0.2542348802089691
20,cam19,23.94833755493164,0.1685301661491394,0.2725498378276825
21,cam00,27.28057098388672,0.09120315313339233,0.21031740307807922
21,cam09,22.12135887145996,0.18648654222488403,0.25416111946105957
21,cam19,23.90438461303711,0.17032045125961304,0.27458006143569946
22,cam00,27.295005798339844,0.09128481149673462,0.21190106868743896
22,cam09,22.124528884887695,0.18488752841949463,0.25162479281425476
22,cam19,23.912429809570312,0.16847652196884155,0.2734428942203522
23,cam00,27.29924201965332,0.09067481756210327,0.21093463897705078
23,cam09,22.147064208984375,0.1855391263961792,0.25367647409439087
23,cam19,23.818674087524414,0.17038613557815552,0.2734454572200775
24,cam00,27.35614013671875,0.09020370244979858,0.20731408894062042
24,cam09,22.133146286010742,0.18457454442977905,0.25179481506347656
24,cam19,23.832611083984375,0.1698489785194397,0.2741035521030426
25,cam00,27.282833099365234,0.09068262577056885,0.20777902007102966
25,cam09,22.10953712463379,0.1866147518157959,0.25576359033584595
25,cam19,23.745853424072266,0.17117691040039062,0.27667179703712463
26,cam00,27.183460235595703,0.09026831388473511,0.2057134211063385
26,cam09,22.125072479248047,0.18481945991516113,0.2517947554588318
26,cam19,23.62269401550293,0.17177534103393555,0.2728024125099182
27,cam00,27.231407165527344,0.09095907211303711,0.2082304060459137
27,cam09,22.12803077697754,0.1865849494934082,0.25559765100479126
27,cam19,23.582897186279297,0.17239046096801758,0.27651941776275635
28,cam00,27.189931869506836,0.09011852741241455,0.20515157282352448
28,cam09,22.091657638549805,0.18894845247268677,0.2590373158454895
28,cam19,23.621788024902344,0.17224764823913574,0.27552393078804016
29,cam00,27.12356948852539,0.09304040670394897,0.21072421967983246
29,cam09,22.069103240966797,0.19033920764923096,0.2629866898059845
29,cam19,23.3895206451416,0.17602819204330444,0.28206998109817505
30,cam00,27.13731575012207,0.09205198287963867,0.2100500613451004
30,cam09,22.09428596496582,0.18981432914733887,0.2621338963508606
30,cam19,23.41259002685547,0.17470890283584595,0.27920687198638916
31,cam00,27.135101318359375,0.09214413166046143,0.21091711521148682
31,cam09,21.96095848083496,0.19554287195205688,0.2689841091632843
31,cam19,23.510204315185547,0.17736780643463135,0.2843645513057709
32,cam00,26.970556259155273,0.09473270177841187,0.2207404226064682
32,cam09,21.802532196044922,0.2008301019668579,0.2811300456523895
32,cam19,22.4969539642334,0.1842193603515625,0.2955639064311981
33,cam00,26.833913803100586,0.09851258993148804,0.2267732322216034
33,cam09,21.665529251098633,0.20696407556533813,0.29223695397377014
33,cam19,21.48213005065918,0.19096356630325317,0.304454505443573
34,cam00,26.72785186767578,0.09756702184677124,0.22748804092407227
34,cam09,21.574678421020508,0.20744723081588745,0.292927622795105
34,cam19,21.38808822631836,0.19214081764221191,0.3031049370765686
35,cam00,26.679410934448242,0.09874439239501953,0.22891730070114136
35,cam09,21.426618576049805,0.20618021488189697,0.2865526080131531
35,cam19,21.543506622314453,0.18994587659835815,0.30344584584236145
36,cam00,26.12148094177246,0.10476464033126831,0.23986995220184326
36,cam09,21.106307983398438,0.21094566583633423,0.3016781806945801
36,cam19,21.423864364624023,0.19749236106872559,0.31719303131103516
37,cam00,26.226089477539062,0.10595089197158813,0.24479900300502777
37,cam09,20.62300682067871,0.21955734491348267,0.30748236179351807
37,cam19,21.562950134277344,0.2005554437637329,0.32396286725997925
38,cam00,26.286550521850586,0.10236841440200806,0.23963232338428497
38,cam09,20.39774513244629,0.2199399471282959,0.3069673776626587
38,cam19,21.576438903808594,0.19967597723007202,0.31650686264038086
39,cam00,26.246192932128906,0.10265684127807617,0.2381466031074524
39,cam09,20.22494888305664,0.21883761882781982,0.3097805976867676
39,cam19,21.57357406616211,0.2015368938446045,0.32506507635116577
40,cam00,26.07203483581543,0.10201328992843628,0.2394167184829712
40,cam09,19.950084686279297,0.22504568099975586,0.31064432859420776
40,cam19,21.46398162841797,0.2051783800125122,0.33037930727005005
41,cam00,25.961410522460938,0.10561352968215942,0.24367430806159973
41,cam09,19.597639083862305,0.23353439569473267,0.3302721381187439
41,cam19,21.295639038085938,0.20941311120986938,0.33126479387283325
42,cam00,25.78797721862793,0.10696125030517578,0.24780145287513733
42,cam09,19.439014434814453,0.2351776361465454,0.32942208647727966
42,cam19,20.866586685180664,0.21155208349227905,0.3322029411792755
43,cam00,25.701751708984375,0.10638105869293213,0.24765843152999878
43,cam09,19.283042907714844,0.24146801233291626,0.3378760814666748
43,cam19,20.732454299926758,0.2178468108177185,0.33955079317092896
44,cam00,25.513202667236328,0.10816419124603271,0.2487836331129074
44,cam09,19.155921936035156,0.24404585361480713,0.338101327419281
44,cam19,20.531232833862305,0.21678942441940308,0.3323017954826355
45,cam00,25.248830795288086,0.11093443632125854,0.25022804737091064
45,cam09,19.028305053710938,0.24677002429962158,0.343042254447937
45,cam19,20.324316024780273,0.22280484437942505,0.33688342571258545
46,cam00,24.996196746826172,0.11238151788711548,0.25392383337020874
46,cam09,18.881038665771484,0.24721521139144897,0.33904141187667847
