iter,loss
100,0.011527439
200,0.0096379109
300,0.013160187
400,0.011640973
500,0.0096607301
600,0.014373766
700,0.01281724
800,0.012755631
900,0.014144162
1000,0.0126356
1100,0.010140599
1200,0.013289861
1300,0.010898208
1400,0.0097718183
1500,0.013334282
1600,0.013776452
1700,0.011636555
1800,0.012705432
1900,0.014781835
2000,0.01160161
2100,0.013792764
2200,0.011992206
2300,0.012426778
2400,0.012409318
2500,0.011811987
2600,0.0133214
2700,0.015038589
2800,0.012809002
2900,0.017241076
3000,0.013930526
3100,0.012333194
3200,0.011746088
3300,0.014017495
3400,0.011282545
3500,0.012343872
3600,0.013152955
3700,0.011605603
3800,0.011979742
3900,0.012265284
4000,0.012432118
4100,0.012368567
4200,0.011398003
4300,0.012995962
4400,0.012080099
4500,0.010713664
4600,0.016978666
4700,0.011823262
4800,0.012347665
4900,0.013745109
5000,0.013914524
5100,0.0107266
5200,0.013940379
5300,0.010094494
5400,0.011087721
5500,0.014288594
5600,0.012022177
5700,0.01146154
5800,0.011916654
5900,0.011619473
6000,0.011872538
6100,0.012824079
6200,0.010400783
6300,0.01117652
6400,0.011101005
6500,0.015706526
6600,0.011889864
6700,0.011141412
6800,0.011148478
6900,0.010281493
7000,0.011544557
*** LAST100_MEAN ***,0.011544557
