iter,loss
100,0.014336279
200,0.0099932235
300,0.018447798
400,0.0094117466
500,0.010175021
600,0.015145686
700,0.015059495
800,0.013839336
900,0.01618425
1000,0.012216535
1100,0.013354597
1200,0.01199919
1300,0.016192466
1400,0.012483094
1500,0.012339164
1600,0.01315086
1700,0.014705039
1800,0.014308546
1900,0.01246487
2000,0.013451286
2100,0.020368174
2200,0.013519685
2300,0.012922223
2400,0.011760212
2500,0.012466518
2600,0.010250634
2700,0.012783394
2800,0.012807017
2900,0.015408417
3000,0.012674486
3100,0.014702797
3200,0.010888285
3300,0.012365027
3400,0.012525886
3500,0.014815763
3600,0.012139954
3700,0.012791175
3800,0.014624219
3900,0.010366669
4000,0.013282192
4100,0.013157148
4200,0.012083311
4300,0.011222774
4400,0.010271598
4500,0.019590862
4600,0.013297533
4700,0.011173004
4800,0.0099882083
4900,0.014651682
5000,0.011297021
5100,0.011565162
5200,0.018546913
5300,0.011738507
5400,0.018944524
5500,0.015012482
5600,0.01859572
5700,0.011891892
5800,0.01190863
5900,0.018901143
6000,0.019452471
6100,0.012155478
6200,0.011113293
6300,0.010347556
6400,0.01450039
6500,0.01363747
6600,0.011736272
6700,0.012080932
6800,0.012617093
6900,0.013118469
7000,0.012790226
*** LAST100_MEAN ***,0.012790226
