iter,loss
100,0.01282225
200,0.0095737372
300,0.01683897
400,0.01094339
500,0.0080250632
600,0.013008502
700,0.017697249
800,0.011617322
900,0.01404736
1000,0.014818208
1100,0.0099081006
1200,0.01559303
1300,0.013655169
1400,0.01730749
1500,0.010335984
1600,0.012142271
1700,0.012716692
1800,0.011517939
1900,0.010723643
2000,0.013676545
2100,0.012718346
2200,0.012321374
2300,0.011966546
2400,0.011691157
2500,0.00945732
2600,0.011450903
2700,0.011495298
2800,0.016294783
2900,0.010858778
3000,0.011485912
3100,0.013139823
3200,0.010129785
3300,0.012030369
3400,0.0095281908
3500,0.012482313
3600,0.012952028
3700,0.011292626
3800,0.0095210634
3900,0.010671293
4000,0.012441194
4100,0.0106923
4200,0.010605182
4300,0.015702233
4400,0.010382861
4500,0.010629149
4600,0.010396199
4700,0.011701789
4800,0.011082254
4900,0.011173878
5000,0.015148555
5100,0.010555739
5200,0.01098186
5300,0.010438505
5400,0.010568362
5500,0.011961583
5600,0.012386085
5700,0.011204259
5800,0.012859927
5900,0.012440667
6000,0.010476111
6100,0.011902992
6200,0.013118982
6300,0.01154553
6400,0.01558268
6500,0.013139477
6600,0.010160286
6700,0.01005117
6800,0.010577554
6900,0.01144783
7000,0.015649846
*** LAST100_MEAN ***,0.015649846
