filename,psnr,ssim,lpips
r_000.png,14.77557373046875,0.8876329660415649,0.1381690502166748
r_001.png,14.725425720214844,0.8928440809249878,0.14456307888031006
r_002.png,15.383106231689453,0.8999083638191223,0.1383991837501526
r_003.png,14.72950553894043,0.8959276080131531,0.12521561980247498
r_004.png,15.109674453735352,0.9071850776672363,0.12931375205516815
r_005.png,14.84723949432373,0.9039318561553955,0.12571407854557037
r_006.png,16.74435043334961,0.91520756483078,0.12231077998876572
r_007.png,14.775238990783691,0.8968014717102051,0.13721084594726562
r_008.png,15.53888988494873,0.9149336218833923,0.0983150452375412
r_009.png,14.390740394592285,0.9001435041427612,0.12961062788963318
r_010.png,14.52493953704834,0.8799106478691101,0.14355933666229248
r_011.png,15.53483772277832,0.9062874913215637,0.1262078732252121
r_012.png,15.505045890808105,0.919259250164032,0.1062590628862381
r_013.png,16.04227066040039,0.8975543975830078,0.12950123846530914
r_014.png,15.163999557495117,0.9024649858474731,0.13508856296539307
r_015.png,16.67881202697754,0.9273585677146912,0.0963824987411499
r_016.png,15.854513168334961,0.9217217564582825,0.10171772539615631
r_017.png,15.254195213317871,0.920640766620636,0.10602352023124695
r_018.png,14.4038724899292,0.8984609246253967,0.12997350096702576
r_019.png,15.209372520446777,0.9041276574134827,0.12461955100297928
*** AVERAGE ***,15.2596,0.9046,0.1244
