frame,gaussian_count,iteration,wall_seconds,peak_cuda_MiB
1,296997,30000,636.5117193129845,939.66357421875
2,285007,30000,639.4174042509403,913.8076171875
3,298002,30000,641.1822230059188,943.93896484375
4,296686,30000,620.4414725319948,937.23193359375
5,281891,30000,633.0624493288342,903.76953125
6,286713,30000,616.1534703020006,915.2958984375
7,294453,30000,623.7991520569194,931.37841796875
8,284155,30000,631.5855722760316,908.64794921875
9,289509,30000,621.5936751428526,921.607421875
10,294819,30000,634.378664260963,933.9765625
11,298735,30000,638.1084067511838,946.02392578125
12,294957,30000,624.9952990189195,934.94921875
13,314553,30000,645.9654268322047,992.099609375
14,289662,30000,635.5599698021542,922.447265625
15,295581,30000,641.3413770920597,936.40966796875
16,324865,30000,648.7510477579199,1016.42138671875
17,345368,30000,641.2306891609915,1077.8994140625
18,288560,30000,620.4821215250995,918.4775390625
19,295063,30000,630.9880895528477,935.26171875
20,306141,30000,633.8518063470256,970.1220703125
21,298054,30000,629.8335715539288,942.05908203125
22,309330,30000,635.1725609479472,976.412109375
23,291579,30000,627.5065412970725,925.99365234375
24,290123,30000,637.8113755320664,924.958984375
25,294949,30000,629.033468398964,934.1484375
26,289597,30000,623.1367857819423,923.49365234375
27,283995,30000,635.8979390859604,908.67822265625
28,291078,30000,631.1935409759171,924.74853515625
29,288286,30000,636.2834031619132,916.904296875
30,302716,30000,631.1911500669084,957.1103515625
31,295636,30000,649.1058861780912,996.8291015625
32,293017,30000,632.9374410628807,930.8515625
33,286831,30000,633.4216667329893,915.70849609375
34,295294,30000,629.4972964930348,937.12060546875
35,286034,30000,629.2867821119726,915.75244140625
36,300222,30000,641.671479628887,947.84326171875
37,296065,30000,627.1278862298932,937.44140625
38,297782,30000,632.735508270096,943.9423828125
39,288740,30000,624.063229956897,919.90185546875
40,325148,30000,631.8850933150388,1016.806640625
41,300800,30000,628.7229839761276,949.62353515625
42,282164,30000,626.9708685050718,903.12548828125
43,310043,30000,637.3059306179639,979.16455078125
44,286923,30000,632.5922825851012,918.9755859375
45,303743,30000,643.5133968680166,964.63330078125
46,302027,30000,646.3945359580684,953.15771484375
47,302362,30000,620.1812083229888,954.3310546875
48,295881,30000,621.62174782902,938.099609375
49,301492,30000,634.3309411238879,952.70068359375
50,298169,30000,640.7946136670653,941.72802734375
51,305390,30000,635.5632809118833,969.77978515625
52,318034,30000,649.0243379429448,998.3876953125
53,280916,30000,631.5141570859123,898.513671875
54,289815,30000,634.2153313220479,925.51904296875
55,287066,30000,625.6608598949388,923.0361328125
56,287261,30000,628.9166082309093,916.04833984375
57,295736,30000,626.6611321980599,938.12548828125
58,293145,30000,636.0789668047801,938.3798828125
59,289409,30000,638.4276429850142,920.34033203125
60,302792,30000,633.5632287829649,960.18017578125
61,309282,30000,642.3801352281589,978.68603515625
62,291807,30000,626.2404057541862,926.5986328125
63,307297,30000,636.9738037569914,974.55322265625
64,293961,30000,635.1754475259222,933.96337890625
65,290620,30000,634.3466262868606,922.703125
66,306343,30000,631.5601659729145,971.20947265625
67,321789,30000,639.0402869840618,1010.67724609375
68,309711,30000,626.4248318469618,984.26513671875
69,311387,30000,637.8235635401215,982.55859375
70,285371,30000,636.1710087589454,913.89111328125
71,307620,30000,632.8460817311425,971.55517578125
72,296834,30000,633.0381396128796,939.45263671875
73,282457,30000,622.1121664359234,902.79248046875
74,298219,30000,639.0507299858145,943.33740234375
75,286409,30000,637.1347094459925,916.41015625
76,296124,30000,634.2521943880711,936.677734375
77,294073,30000,633.2167014849838,931.25537109375
78,290571,30000,623.9631183859892,924.82763671875
79,297458,30000,626.0499932379462,941.13818359375
80,300060,30000,646.202595446026,946.9755859375
81,286984,30000,626.3836468129884,916.1142578125
82,285899,30000,640.8000128588174,915.85888671875
83,296219,30000,636.0928867310286,939.322265625
84,280440,30000,622.6639247760177,893.9912109375
85,294947,30000,639.9243341248948,936.94970703125
86,289188,30000,634.3108459590003,920.43115234375
87,304028,30000,637.0415408420376,967.70263671875
88,302501,30000,626.9953859609086,957.73828125
89,290122,30000,630.6056785890833,925.60888671875
90,320441,30000,639.8573837499134,1010.52099609375
91,295360,30000,637.3645717150066,934.822265625
92,307316,30000,639.7782180008944,973.7958984375
93,306264,30000,628.4437319571152,973.244140625
94,303529,30000,631.0389515361749,966.19091796875
95,298357,30000,635.5708644429687,945.39990234375
96,301711,30000,633.4435800118372,952.13427734375
97,311175,30000,644.8236515719909,984.97314453125
98,322911,30000,651.1669174928684,1013.73291015625
99,322147,30000,641.5839387450833,1011.12109375
100,303003,30000,635.0454087730031,958.19189453125
101,297718,30000,627.5840069320984,943.67431640625
102,324190,30000,646.9900319080334,1017.85888671875
103,296988,30000,642.9704389239196,939.06298828125
104,298913,30000,643.1959617910907,947.9326171875
105,302763,30000,640.7348753809929,957.72119140625
106,319116,30000,639.1201272089966,1003.84716796875
107,296912,30000,642.3442518911324,940.05859375
108,291804,30000,635.628863946069,925.4697265625
109,299235,30000,638.8499149989802,947.55224609375
110,291096,30000,645.8285645260476,927.27734375
111,340494,30000,653.7679483860265,1065.35107421875
112,306333,30000,633.685787245864,970.41015625
113,318409,30000,643.8233953169547,1005.0400390625
114,290047,30000,643.1195797249675,921.70556640625
115,301335,30000,635.1081455638632,953.46923828125
116,311014,30000,638.5459761179518,982.623046875
117,303425,30000,648.5145546880085,963.59423828125
118,339151,30000,650.7405241709203,1061.2578125
119,324820,30000,641.1766916259658,1018.486328125
120,330416,30000,646.7604637290351,1043.95263671875
121,306332,30000,647.7511785498355,986.00537109375
122,298448,30000,646.0970141349826,943.890625
123,308176,30000,648.9566676688846,976.05615234375
124,295891,30000,642.5216187739279,936.48779296875
125,299709,30000,644.5881989749614,946.3525390625
126,305716,30000,654.5426110681146,1019.43212890625
127,304470,30000,629.8825476239435,967.17333984375
128,290766,30000,635.1156458829064,922.91943359375
129,292924,30000,625.8906476658303,931.55810546875
130,310536,30000,655.2229627920315,980.1220703125
131,290717,30000,638.824830384925,922.39501953125
132,301210,30000,632.7763448390178,952.11474609375
133,299446,30000,632.0915510950144,945.71728515625
134,284436,30000,631.2589776981622,909.15283203125
135,298585,30000,632.2977306400426,945.77685546875
136,293390,30000,626.7879758228082,930.49853515625
137,287014,30000,629.6476159580052,912.84814453125
138,288570,30000,630.6774180440698,918.9345703125
