frame,camera,psnr,d_ssim,lpips
1,cam00,27.200946807861328,0.0611233115196228,0.21777702867984772
1,cam08,27.063465118408203,0.07785594463348389,0.22186580300331116
1,cam16,31.3382625579834,0.05575728416442871,0.18324513733386993
2,cam00,30.19635581970215,0.04879403114318848,0.1986798644065857
2,cam08,27.02628517150879,0.09165078401565552,0.21897533535957336
2,cam16,31.420562744140625,0.053490400314331055,0.17977939546108246
3,cam00,28.354110717773438,0.05795019865036011,0.1991950422525406
3,cam08,22.67304229736328,0.1243087649345398,0.2617449164390564
3,cam16,30.652286529541016,0.05569356679916382,0.1815841794013977
4,cam00,32.78934097290039,0.04407864809036255,0.19383347034454346
4,cam08,28.085721969604492,0.07148396968841553,0.20724612474441528
4,cam16,31.350692749023438,0.05696594715118408,0.18484455347061157
5,cam00,26.50348472595215,0.07258719205856323,0.2334243208169937
5,cam08,28.735755920410156,0.0720682144165039,0.21420753002166748
5,cam16,30.96556854248047,0.058708131313323975,0.1927456259727478
6,cam00,31.619972229003906,0.047831952571868896,0.19686056673526764
6,cam08,28.478174209594727,0.07393383979797363,0.21298561990261078
6,cam16,24.928083419799805,0.07138556241989136,0.20658960938453674
7,cam00,21.3635196685791,0.10812652111053467,0.2993142306804657
7,cam08,21.532203674316406,0.12836623191833496,0.2655597925186157
7,cam16,28.82240104675293,0.06036734580993652,0.19381728768348694
8,cam00,32.08598327636719,0.04473084211349487,0.19693630933761597
8,cam08,27.55564308166504,0.08382201194763184,0.219293013215065
8,cam16,31.23882484436035,0.055191218852996826,0.18321219086647034
9,cam00,30.249820709228516,0.05573076009750366,0.20309428870677948
9,cam08,27.758148193359375,0.07734847068786621,0.2158239185810089
9,cam16,30.79983139038086,0.058255136013031006,0.1843232959508896
10,cam00,29.032251358032227,0.05534970760345459,0.21192121505737305
10,cam08,27.879470825195312,0.07855838537216187,0.2210783064365387
10,cam16,30.559846878051758,0.06004601716995239,0.18613244593143463
11,cam00,22.42267417907715,0.10705769062042236,0.2894619405269623
11,cam08,26.76926612854004,0.08659625053405762,0.22983485460281372
11,cam16,30.09467124938965,0.0590367317199707,0.18824398517608643
12,cam00,31.706296920776367,0.047911882400512695,0.1994665563106537
12,cam08,28.380905151367188,0.0769471526145935,0.21517130732536316
12,cam16,31.028350830078125,0.05775773525238037,0.18505263328552246
13,cam00,29.925737380981445,0.05101120471954346,0.20182566344738007
13,cam08,21.887102127075195,0.14209729433059692,0.2843693494796753
13,cam16,31.140628814697266,0.057303667068481445,0.18160884082317352
14,cam00,28.481430053710938,0.050964295864105225,0.19781073927879333
14,cam08,21.860931396484375,0.1416742205619812,0.28049609065055847
14,cam16,30.88141632080078,0.05352938175201416,0.1794051229953766
15,cam00,20.448232650756836,0.11471563577651978,0.29426899552345276
15,cam08,26.363021850585938,0.09614527225494385,0.2126898616552353
15,cam16,31.698389053344727,0.055361807346343994,0.18484075367450714
16,cam00,23.474811553955078,0.10082918405532837,0.2827889919281006
16,cam08,21.0878963470459,0.1633545160293579,0.3119114637374878
16,cam16,30.851999282836914,0.05582296848297119,0.1831280142068863
17,cam00,21.89517593383789,0.08703529834747314,0.25996699929237366
17,cam08,21.172555923461914,0.11085861921310425,0.2453244924545288
17,cam16,22.83287239074707,0.09193897247314453,0.25064823031425476
18,cam00,30.805889129638672,0.04909491539001465,0.19351758062839508
18,cam08,28.113079071044922,0.07360416650772095,0.21099358797073364
18,cam16,30.891021728515625,0.05750405788421631,0.18444083631038666
19,cam00,30.781187057495117,0.04695349931716919,0.2006552517414093
19,cam08,27.72492218017578,0.07680213451385498,0.21474722027778625
19,cam16,30.86562728881836,0.05834829807281494,0.19017279148101807
20,cam00,23.97907257080078,0.09530150890350342,0.29037219285964966
20,cam08,26.82143211364746,0.08029615879058838,0.22806182503700256
20,cam16,30.35138511657715,0.05669689178466797,0.1863989233970642
21,cam00,30.704723358154297,0.05120587348937988,0.2021780014038086
21,cam08,26.10348129272461,0.09413158893585205,0.23698875308036804
21,cam16,30.68280792236328,0.05673593282699585,0.1855686753988266
22,cam00,30.324071884155273,0.05060213804244995,0.1989266276359558
22,cam08,25.656173706054688,0.0958661437034607,0.2317800223827362
22,cam16,29.79482650756836,0.05748957395553589,0.18506082892417908
23,cam00,29.601043701171875,0.05435913801193237,0.20391064882278442
23,cam08,27.60301399230957,0.08097165822982788,0.21992915868759155
23,cam16,30.138578414916992,0.058399856090545654,0.18408669531345367
24,cam00,31.786376953125,0.04655468463897705,0.1979282647371292
24,cam08,28.427661895751953,0.07507830858230591,0.21773523092269897
24,cam16,31.088693618774414,0.05655360221862793,0.18320640921592712
25,cam00,27.86651611328125,0.05285447835922241,0.21349379420280457
25,cam08,27.97434425354004,0.0779070258140564,0.22391928732395172
25,cam16,31.06380844116211,0.05792593955993652,0.19002260267734528
26,cam00,32.133853912353516,0.04529261589050293,0.1965334117412567
26,cam08,26.808753967285156,0.08726483583450317,0.21395191550254822
26,cam16,31.387617111206055,0.05527234077453613,0.18605482578277588
27,cam00,26.4765682220459,0.055467307567596436,0.21802440285682678
27,cam08,25.499919891357422,0.09214472770690918,0.23376953601837158
27,cam16,31.81321144104004,0.05188471078872681,0.18096086382865906
28,cam00,23.676715850830078,0.10316550731658936,0.2553185820579529
28,cam08,27.562158584594727,0.0791473388671875,0.2241465300321579
28,cam16,31.29705047607422,0.05086570978164673,0.173294335603714
29,cam00,30.837289810180664,0.04902404546737671,0.20049770176410675
29,cam08,27.917112350463867,0.0736798644065857,0.2148962914943695
29,cam16,31.05183982849121,0.05543684959411621,0.18037518858909607
30,cam00,30.45030975341797,0.04718714952468872,0.2043541520833969
30,cam08,25.376815795898438,0.09106510877609253,0.2349613904953003
30,cam16,26.339513778686523,0.06761687994003296,0.20344489812850952
31,cam00,20.52806282043457,0.12906765937805176,0.31117963790893555
31,cam08,23.90586280822754,0.10056197643280029,0.25073134899139404
31,cam16,31.94938850402832,0.05184519290924072,0.1772274672985077
32,cam00,29.80715560913086,0.05193805694580078,0.20529040694236755
32,cam08,25.230710983276367,0.09650713205337524,0.23920850455760956
32,cam16,31.23850440979004,0.05507022142410278,0.18402327597141266
33,cam00,29.45313262939453,0.04829668998718262,0.20203258097171783
33,cam08,25.414350509643555,0.0998184084892273,0.23595690727233887
33,cam16,31.09510040283203,0.05663955211639404,0.1851016730070114
34,cam00,31.202083587646484,0.04970353841781616,0.19818957149982452
34,cam08,26.95928382873535,0.0891348123550415,0.22175544500350952
34,cam16,30.651710510253906,0.0558132529258728,0.18297362327575684
35,cam00,32.82942581176758,0.042624592781066895,0.18934522569179535
35,cam08,24.116249084472656,0.10582077503204346,0.2397095113992691
35,cam16,31.442272186279297,0.05443120002746582,0.18159262835979462
36,cam00,32.10869216918945,0.043973326683044434,0.19475314021110535
36,cam08,24.408218383789062,0.10765445232391357,0.247076615691185
36,cam16,31.902040481567383,0.0540013313293457,0.18179893493652344
37,cam00,31.183746337890625,0.04835104942321777,0.2053070068359375
37,cam08,28.521800994873047,0.07237213850021362,0.2089884728193283
37,cam16,31.55394172668457,0.05520600080490112,0.18565189838409424
38,cam00,26.382083892822266,0.06945139169692993,0.22360017895698547
38,cam08,22.102375030517578,0.13808941841125488,0.2723385691642761
38,cam16,31.024192810058594,0.05362313985824585,0.18099363148212433
39,cam00,29.978696823120117,0.050087690353393555,0.20758959650993347
39,cam08,28.075096130371094,0.07484084367752075,0.21471109986305237
39,cam16,31.436744689941406,0.05488026142120361,0.18254393339157104
40,cam00,31.30202865600586,0.04750645160675049,0.1995006650686264
40,cam08,21.488479614257812,0.14353930950164795,0.291189968585968
40,cam16,23.200401306152344,0.07837247848510742,0.21311628818511963
41,cam00,21.958393096923828,0.10447865724563599,0.2717434763908386
41,cam08,21.6242618560791,0.14641529321670532,0.2942047119140625
41,cam16,31.184375762939453,0.05458223819732666,0.18439289927482605
42,cam00,28.373010635375977,0.061548829078674316,0.20985104143619537
42,cam08,27.090394973754883,0.08480566740036011,0.22514134645462036
42,cam16,31.16594696044922,0.054331421852111816,0.18579261004924774
43,cam00,31.368661880493164,0.046123623847961426,0.199965238571167
43,cam08,27.9643611907959,0.07808202505111694,0.2262025773525238
43,cam16,23.280683517456055,0.0678815245628357,0.19354510307312012
44,cam00,32.73844909667969,0.04378402233123779,0.1945364624261856
44,cam08,29.02414894104004,0.07277721166610718,0.21517901122570038
44,cam16,31.4775447845459,0.054367899894714355,0.18047843873500824
45,cam00,23.983057022094727,0.08099371194839478,0.23452003300189972
45,cam08,23.990724563598633,0.11778461933135986,0.26846015453338623
45,cam16,30.182462692260742,0.05798453092575073,0.19036638736724854
46,cam00,31.131778717041016,0.04599964618682861,0.20038221776485443
46,cam08,25.545902252197266,0.0990338921546936,0.2454192340373993
46,cam16,31.547245025634766,0.05383497476577759,0.1841583251953125
47,cam00,32.964210510253906,0.04329347610473633,0.19400478899478912
47,cam08,26.71034812927246,0.0754595398902893,0.21014733612537384
47,cam16,27.651975631713867,0.06326907873153687,0.20458248257637024
48,cam00,32.983760833740234,0.04221153259277344,0.19529664516448975
48,cam08,29.012697219848633,0.069446861743927,0.20645488798618317
48,cam16,31.755020141601562,0.053813815116882324,0.18402045965194702
49,cam00,24.038930892944336,0.08734798431396484,0.24968990683555603
49,cam08,28.309520721435547,0.07511961460113525,0.21682855486869812
49,cam16,31.010467529296875,0.0533713698387146,0.182480126619339
50,cam00,30.572021484375,0.04534316062927246,0.1973496973514557
50,cam08,28.32543182373047,0.0741119384765625,0.21038389205932617
50,cam16,31.686166763305664,0.05475252866744995,0.18392136693000793
51,cam00,31.5679988861084,0.047672152519226074,0.20092923939228058
51,cam08,27.072141647338867,0.0817875862121582,0.22032076120376587
51,cam16,31.834274291992188,0.05416607856750488,0.18863454461097717
52,cam00,29.539566040039062,0.05857747793197632,0.19935595989227295
52,cam08,24.700103759765625,0.09757298231124878,0.24235719442367554
52,cam16,31.1754150390625,0.05542415380477905,0.18445105850696564
53,cam00,23.539335250854492,0.07983154058456421,0.2298806756734848
53,cam08,23.774160385131836,0.11374771595001221,0.24439382553100586
53,cam16,31.73751449584961,0.05516660213470459,0.1840076595544815
54,cam00,30.39615821838379,0.04835003614425659,0.1989034116268158
54,cam08,28.472734451293945,0.07478320598602295,0.2151135504245758
54,cam16,31.964630126953125,0.05360567569732666,0.18435877561569214
55,cam00,31.659767150878906,0.047017693519592285,0.19947519898414612
55,cam08,28.58564567565918,0.07447284460067749,0.2149014174938202
55,cam16,31.328824996948242,0.05557221174240112,0.1859070062637329
56,cam00,31.718957901000977,0.044802069664001465,0.1958554983139038
56,cam08,28.70216178894043,0.07269114255905151,0.21218673884868622
56,cam16,31.12361717224121,0.05653798580169678,0.18366923928260803
57,cam00,23.566015243530273,0.07610088586807251,0.22790738940238953
57,cam08,21.761133193969727,0.15521740913391113,0.3104797601699829
57,cam16,30.780385971069336,0.053916215896606445,0.18529507517814636
58,cam00,26.04976463317871,0.07548266649246216,0.2228199988603592
58,cam08,25.34510040283203,0.10101032257080078,0.25632092356681824
58,cam16,31.627878189086914,0.0537378191947937,0.17716893553733826
59,cam00,31.095251083374023,0.051346778869628906,0.2099817991256714
59,cam08,27.043447494506836,0.0919681191444397,0.22907577455043793
59,cam16,31.2213134765625,0.05623519420623779,0.18824294209480286
60,cam00,30.495389938354492,0.05010724067687988,0.20885202288627625
60,cam08,26.85002326965332,0.08521133661270142,0.22046184539794922
60,cam16,30.90911102294922,0.05707848072052002,0.18504226207733154
61,cam00,29.825376510620117,0.049803733825683594,0.208345428109169
61,cam08,23.670434951782227,0.12436264753341675,0.27149075269699097
61,cam16,31.282346725463867,0.05739140510559082,0.18661481142044067
62,cam00,30.381717681884766,0.04945993423461914,0.20148536562919617
62,cam08,27.677213668823242,0.07716047763824463,0.21241623163223267
62,cam16,30.89251708984375,0.056483685970306396,0.17996160686016083
63,cam00,30.813180923461914,0.04749804735183716,0.2006104588508606
63,cam08,28.189035415649414,0.07571005821228027,0.2098991870880127
63,cam16,31.339447021484375,0.055330097675323486,0.1846323311328888
64,cam00,31.589935302734375,0.04475367069244385,0.19699275493621826
64,cam08,28.346099853515625,0.07135999202728271,0.20653429627418518
64,cam16,30.7983341217041,0.05702686309814453,0.18578164279460907
65,cam00,29.62861442565918,0.05587625503540039,0.20408852398395538
65,cam08,28.383502960205078,0.07374721765518188,0.21482066810131073
65,cam16,30.66645622253418,0.0576668381690979,0.18802739679813385
66,cam00,32.49826431274414,0.045010149478912354,0.19257201254367828
66,cam08,24.925386428833008,0.10258018970489502,0.23799598217010498
66,cam16,25.09830665588379,0.06126821041107178,0.19618850946426392
67,cam00,27.79563331604004,0.060035526752471924,0.21779412031173706
67,cam08,23.23972511291504,0.1301954984664917,0.28013578057289124
67,cam16,24.312192916870117,0.08191365003585815,0.23795834183692932
68,cam00,31.08110237121582,0.04737234115600586,0.20032572746276855
68,cam08,27.604578018188477,0.08027172088623047,0.22159457206726074
68,cam16,28.309965133666992,0.06326395273208618,0.19293135404586792
69,cam00,30.955059051513672,0.049146950244903564,0.2093726396560669
69,cam08,28.35723876953125,0.07823312282562256,0.22194239497184753
69,cam16,22.82171058654785,0.09420382976531982,0.2436237931251526
70,cam00,30.364055633544922,0.04836475849151611,0.19770365953445435
70,cam08,25.174665451049805,0.09637278318405151,0.24139849841594696
70,cam16,31.54625129699707,0.052964627742767334,0.17971038818359375
71,cam00,32.2924919128418,0.045571088790893555,0.1961706429719925
71,cam08,22.201744079589844,0.12347215414047241,0.25940170884132385
71,cam16,23.605682373046875,0.08011782169342041,0.2328081876039505
72,cam00,30.871904373168945,0.046086132526397705,0.20020440220832825
72,cam08,24.887348175048828,0.10320591926574707,0.24170668423175812
72,cam16,31.69922637939453,0.052403151988983154,0.17786812782287598
73,cam00,31.653034210205078,0.048621952533721924,0.2000502198934555
73,cam08,23.19388198852539,0.12376421689987183,0.26705390214920044
73,cam16,31.414644241333008,0.05366051197052002,0.17965656518936157
74,cam00,30.255477905273438,0.04589015245437622,0.20404577255249023
74,cam08,27.58133888244629,0.07786422967910767,0.21454903483390808
74,cam16,31.737831115722656,0.05129915475845337,0.17715977132320404
75,cam00,31.087448120117188,0.047698378562927246,0.205560103058815
75,cam08,26.834718704223633,0.08622640371322632,0.21959799528121948
75,cam16,31.591045379638672,0.0526157021522522,0.18334269523620605
76,cam00,30.606815338134766,0.05003076791763306,0.2082863301038742
76,cam08,27.550832748413086,0.07602471113204956,0.21720248460769653
76,cam16,31.33420753479004,0.0562472939491272,0.18545612692832947
77,cam00,28.728282928466797,0.05254089832305908,0.20830100774765015
77,cam08,25.262697219848633,0.09162664413452148,0.2239604890346527
77,cam16,27.69911003112793,0.07355612516403198,0.2140684574842453
78,cam00,32.10921096801758,0.04477977752685547,0.19260762631893158
78,cam08,29.804630279541016,0.06738722324371338,0.20360760390758514
78,cam16,31.027664184570312,0.054166972637176514,0.18353772163391113
79,cam00,32.42948532104492,0.047568321228027344,0.20090065896511078
79,cam08,28.739425659179688,0.07583475112915039,0.21389102935791016
79,cam16,31.247882843017578,0.05824732780456543,0.18945994973182678
80,cam00,28.47035789489746,0.05866575241088867,0.20674148201942444
80,cam08,26.12947654724121,0.09540128707885742,0.2339784801006317
80,cam16,31.175636291503906,0.05478435754776001,0.1820773035287857
81,cam00,31.85689926147461,0.04820805788040161,0.1985832154750824
81,cam08,28.62236213684082,0.074959397315979,0.21442268788814545
81,cam16,31.51116180419922,0.05638760328292847,0.18955807387828827
82,cam00,23.862510681152344,0.0719490647315979,0.248362198472023
82,cam08,22.544044494628906,0.11471742391586304,0.26371973752975464
82,cam16,31.26807975769043,0.054998695850372314,0.18404729664325714
83,cam00,30.696691513061523,0.04910379648208618,0.2028391808271408
83,cam08,27.997121810913086,0.07472044229507446,0.21461105346679688
83,cam16,31.61193084716797,0.054833948612213135,0.1839766949415207
84,cam00,32.831443786621094,0.0427512526512146,0.19317080080509186
84,cam08,28.76241111755371,0.07374423742294312,0.21433864533901215
84,cam16,31.318906784057617,0.05360591411590576,0.18334417045116425
85,cam00,30.09750747680664,0.052897095680236816,0.21079236268997192
85,cam08,26.699180603027344,0.08785825967788696,0.22811856865882874
85,cam16,31.20428466796875,0.0560077428817749,0.1896638721227646
86,cam00,30.81458282470703,0.045959651470184326,0.20337361097335815
86,cam08,24.801589965820312,0.09985291957855225,0.23566211760044098
86,cam16,31.4825496673584,0.05485069751739502,0.18353675305843353
87,cam00,31.910873413085938,0.044962286949157715,0.20025944709777832
87,cam08,28.759729385375977,0.0738985538482666,0.21563710272312164
87,cam16,31.318151473999023,0.05433857440948486,0.18189331889152527
88,cam00,28.222578048706055,0.06553572416305542,0.20910009741783142
88,cam08,27.9458065032959,0.07659709453582764,0.21555306017398834
88,cam16,24.575298309326172,0.06878662109375,0.2100634127855301
89,cam00,24.2576904296875,0.08658492565155029,0.2541401982307434
89,cam08,27.98581314086914,0.0724031925201416,0.21129345893859863
89,cam16,31.74395751953125,0.05226045846939087,0.17857876420021057
90,cam00,32.24799728393555,0.04507488012313843,0.20318187773227692
90,cam08,28.49297523498535,0.07292819023132324,0.2118794322013855
90,cam16,31.573022842407227,0.053171634674072266,0.18393343687057495
91,cam00,31.073789596557617,0.049925923347473145,0.2097693383693695
91,cam08,28.0260009765625,0.07539784908294678,0.2121354043483734
91,cam16,31.66912078857422,0.054374098777770996,0.18577370047569275
92,cam00,27.26978302001953,0.05660080909729004,0.21092455089092255
92,cam08,22.736587524414062,0.12859433889389038,0.26967597007751465
92,cam16,31.018081665039062,0.055757880210876465,0.17933863401412964
93,cam00,31.720623016357422,0.0438113808631897,0.20031817257404327
93,cam08,28.02585792541504,0.07395017147064209,0.21380925178527832
93,cam16,31.27499008178711,0.05723738670349121,0.1878056526184082
94,cam00,31.272905349731445,0.045103251934051514,0.19411452114582062
94,cam08,28.080106735229492,0.07548600435256958,0.21383558213710785
94,cam16,31.25872230529785,0.05446881055831909,0.18204888701438904
95,cam00,30.951087951660156,0.04762965440750122,0.20323596894741058
95,cam08,26.71504020690918,0.08619064092636108,0.22357268631458282
95,cam16,31.149133682250977,0.055292606353759766,0.18451479077339172
96,cam00,32.17393112182617,0.044608354568481445,0.195038840174675
96,cam08,23.302711486816406,0.10029643774032593,0.24031959474086761
96,cam16,27.46611976623535,0.06782639026641846,0.20403145253658295
97,cam00,24.08928871154785,0.08820432424545288,0.24644482135772705
97,cam08,21.348127365112305,0.13271582126617432,0.29804930090904236
