frame,gaussian_count,iteration,wall_seconds,peak_cuda_MiB
75,351707,7000,152.4571335169021,1189.83447265625
76,347561,7000,149.71449939790182,1176.0087890625
77,353765,7000,150.5809829289792,1199.32666015625
78,346267,7000,152.78109204000793,1180.38916015625
79,348512,7000,151.32281567691825,1185.1328125
80,346012,7000,153.06978920695838,1173.56103515625
81,350928,7000,151.668747382937,1186.75439453125
82,349433,7000,150.64538302004803,1177.880859375
83,354811,7000,152.0519033409655,1202.60693359375
84,354896,7000,149.9205427550478,1195.798828125
85,352891,7000,151.5494614620693,1198.6044921875
86,353268,7000,152.18446612800471,1191.0322265625
87,351609,7000,151.12942929309793,1187.98583984375
88,350946,7000,151.91592927009333,1188.22900390625
89,352244,7000,150.51079580991063,1184.3974609375
90,345757,7000,150.2584218509728,1166.9501953125
91,353603,7000,151.28044999600388,1191.70849609375
92,347742,7000,150.5362008078955,1175.35546875
93,355145,7000,150.46025327406824,1205.658203125
94,346213,7000,149.0158047999721,1177.15087890625
95,349290,7000,150.4491734149633,1180.85205078125
96,348247,7000,149.83713709993754,1175.82275390625
97,355999,7000,149.83501673291903,1199.5078125
98,353408,7000,150.9607027709717,1190.14208984375
99,353123,7000,149.73269586102106,1186.93017578125
100,350727,7000,150.6412001689896,1183.30517578125
101,340655,7000,149.76740088302176,1159.37744140625
102,342912,7000,149.2089226730168,1167.4990234375
103,350952,7000,150.44797929003835,1176.95703125
104,349662,7000,149.98911816894542,1182.71435546875
105,344057,7000,150.01857849094085,1163.17919921875
106,350280,7000,151.28262759395875,1186.07763671875
107,341443,7000,150.00654087902512,1155.0341796875
108,353623,7000,149.26214851497207,1189.67578125
109,351378,7000,148.1308169439435,1185.29150390625
110,349299,7000,151.4248580049025,1174.82958984375
111,351513,7000,151.6652462350903,1185.16845703125
112,347996,7000,151.0963628209429,1174.712890625
113,342634,7000,150.1212106019957,1164.39990234375
114,353511,7000,149.96664543903898,1196.7109375
115,344788,7000,150.02244677499402,1169.63818359375
116,354406,7000,149.27079078101087,1196.203125
117,353112,7000,150.16203019302338,1188.56591796875
118,351338,7000,149.66576007392723,1190.599609375
119,348414,7000,150.38993160193786,1175.2998046875
120,347993,7000,149.72797480493318,1171.8330078125
121,350499,7000,151.78054381196853,1187.43310546875
122,354113,7000,152.1335882890271,1189.5439453125
123,353847,7000,150.20321634900756,1191.642578125
124,349589,7000,150.95450930402149,1191.09423828125
125,346333,7000,150.30723160505295,1178.94775390625
126,351958,7000,150.52369495702442,1191.59130859375
127,351439,7000,151.37158070493024,1188.94921875
128,346536,7000,150.77670077595394,1173.08447265625
129,347583,7000,149.45268491201568,1178.02099609375
130,357594,7000,149.97131476399954,1202.0009765625
131,353643,7000,149.67768027994316,1192.7666015625
132,355904,7000,148.728288393002,1199.263671875
133,351490,7000,150.06794854893815,1189.60205078125
134,351883,7000,151.1607300520409,1189.263671875
135,364136,7000,150.4012741560582,1218.8486328125
136,351635,7000,149.93799985095393,1192.00634765625
137,350754,7000,150.14996262802742,1177.8955078125
138,353387,7000,150.19337625498883,1191.0400390625
139,360715,7000,150.27801068301778,1220.46337890625
140,361495,7000,150.8620120510459,1220.33056640625
141,353565,7000,148.98956545093097,1190.658203125
142,353904,7000,150.7440615190426,1201.37158203125
143,349086,7000,149.08489960292354,1181.40234375
144,355938,7000,151.7639050220605,1204.41796875
145,348172,7000,150.78779507800937,1179.7392578125
146,350102,7000,149.03673434595112,1192.65185546875
147,360117,7000,151.29107676493004,1206.38671875
148,353546,7000,149.7876900800038,1186.41259765625
149,349635,7000,149.06584564701188,1184.3876953125
150,350221,7000,149.85777724406216,1173.408203125
151,349016,7000,150.72177210694645,1180.12939453125
152,348424,7000,149.00284820899833,1180.564453125
153,351568,7000,149.47774233005475,1182.26318359375
154,352109,7000,149.36759544396773,1196.9091796875
155,351785,7000,149.96814233693294,1186.216796875
156,346852,7000,150.0265476620989,1174.515625
157,353629,7000,149.66934649599716,1190.97802734375
158,347805,7000,150.8716840739362,1176.55517578125
159,344316,7000,151.28206258208957,1171.0517578125
160,338441,7000,149.89898429694586,1157.29296875
161,346343,7000,151.3203249599319,1176.49951171875
162,351001,7000,150.50588071194943,1185.64013671875
163,343731,7000,149.34722827910446,1166.69921875
164,341535,7000,149.06631782697514,1165.666015625
165,339314,7000,149.81170980306342,1154.052734375
166,351671,7000,149.91739986196626,1192.02734375
167,346399,7000,150.4649736440042,1166.5458984375
168,347211,7000,149.55050191504415,1173.19482421875
169,343074,7000,151.70883645501453,1165.98095703125
170,350373,7000,150.77645045798272,1183.0595703125
171,346933,7000,150.3026214640122,1175.60693359375
172,352883,7000,149.26986721390858,1191.236328125
173,346858,7000,150.10596275201533,1172.970703125
174,348034,7000,149.3924604220083,1177.60595703125
175,351471,7000,150.39180890202988,1190.205078125
176,351266,7000,150.7597766870167,1178.470703125
177,347485,7000,149.63944359193556,1174.99609375
178,346910,7000,148.73810483305715,1165.90087890625
179,348703,7000,149.89779785298742,1175.9306640625
180,345473,7000,150.31538978393655,1180.50927734375
181,344177,7000,149.244973613997,1168.3642578125
182,357391,7000,150.29564228700474,1199.2080078125
183,342805,7000,149.69187749596313,1165.1396484375
184,350742,7000,150.7902220999822,1191.60009765625
185,348879,7000,150.2646941819694,1175.77001953125
186,345282,7000,151.64464347995818,1172.54296875
187,344724,7000,152.02860821795184,1164.57763671875
188,351610,7000,150.3764501180267,1180.5380859375
189,346765,7000,149.3534493839834,1177.19580078125
190,356301,7000,149.5047072810121,1196.3759765625
191,348387,7000,149.25353051093407,1179.27392578125
192,351925,7000,149.92480955494102,1189.39697265625
193,352008,7000,149.04684965196066,1189.73779296875
194,352387,7000,150.77982839208562,1181.53271484375
195,349299,7000,150.34061297902372,1177.04052734375
196,352997,7000,150.3465653839521,1189.65771484375
197,349160,7000,151.11658300296403,1185.37646484375
198,353610,7000,150.56865623698104,1192.8603515625
199,359741,7000,151.616723587038,1207.94775390625
200,348723,7000,151.7382752080448,1182.041015625
201,355321,7000,151.71288587793242,1189.62548828125
202,346481,7000,150.1691532629775,1174.60107421875
203,353934,7000,150.72601685591508,1192.6162109375
204,350020,7000,149.8354647650849,1186.166015625
205,354367,7000,150.2328616839368,1196.2119140625
206,358088,7000,149.83951113990042,1199.74267578125
207,342421,7000,151.24347085505724,1163.14013671875
208,348597,7000,148.87713898299262,1180.9013671875
209,352671,7000,150.38983827794436,1199.4951171875
210,350183,7000,149.74776868207846,1176.70556640625
211,351266,7000,149.15489417302888,1189.2578125
212,343186,7000,149.20364201499615,1165.78076171875
213,347032,7000,149.84320753905922,1169.98681640625
214,345999,7000,149.6823315799702,1173.1494140625
215,348156,7000,149.89938334503677,1170.4013671875
216,344712,7000,149.51192218391225,1171.54736328125
217,340362,7000,149.59929819696117,1161.98388671875
218,348968,7000,149.9630120380316,1174.0927734375
219,348540,7000,150.82533000502735,1190.13525390625
220,348131,7000,149.57072619197425,1176.8427734375
221,355993,7000,149.84918728494085,1197.083984375
222,341966,7000,150.62010705808643,1161.25341796875
223,345382,7000,150.60100028605666,1172.03369140625
224,347037,7000,149.99699977005366,1172.658203125
225,349981,7000,153.030841624015,1182.2900390625
226,344041,7000,150.92920682299882,1169.66943359375
227,350538,7000,149.24870551901404,1184.724609375
228,356933,7000,149.34628711699042,1194.390625
229,347225,7000,150.47932330693584,1175.26123046875
230,344917,7000,149.90207250998355,1181.150390625
231,350819,7000,150.63120701501612,1187.42431640625
232,344667,7000,151.93480536795687,1168.580078125
233,362540,7000,151.89226559596136,1220.21435546875
234,347657,7000,150.84836613899097,1180.119140625
235,341344,7000,150.00736786902416,1160.994140625
236,348545,7000,150.13346605701372,1178.39697265625
237,343617,7000,150.60634623793885,1164.78076171875
238,355248,7000,152.15417666500434,1202.8017578125
239,347888,7000,149.18299836607184,1174.84326171875
240,350612,7000,149.83161146508064,1175.9208984375
241,346792,7000,150.20083380199503,1171.81591796875
242,344840,7000,150.95741637202445,1174.72509765625
243,346518,7000,148.45721177291125,1171.44189453125
244,350027,7000,151.34422525193077,1181.94091796875
245,347281,7000,150.2881670560455,1180.2412109375
246,357163,7000,150.1302694710903,1196.857421875
247,353500,7000,150.72864972706884,1187.80859375
248,343338,7000,150.17877857608255,1165.10009765625
249,349612,7000,149.95120800100267,1184.32470703125
250,345148,7000,149.6031329500256,1168.52001953125
251,347162,7000,150.84933270106558,1174.94140625
252,364272,7000,151.93782881496008,1225.8857421875
253,350078,7000,151.1968520290684,1184.1005859375
254,353824,7000,151.3083717339905,1195.7470703125
255,358436,7000,152.13289980997797,1206.5302734375
256,351471,7000,149.98800776002463,1187.0791015625
257,359045,7000,151.79491265898105,1205.89404296875
258,358937,7000,150.48258319706656,1210.306640625
259,360536,7000,150.53683417197317,1215.77197265625
260,350354,7000,150.0626092510065,1192.0185546875
261,357785,7000,152.81121770094614,1207.48095703125
262,344484,7000,150.15026085905265,1171.5
263,362799,7000,149.65856276103295,1217.9599609375
264,350314,7000,149.4889619309688,1185.54248046875
265,362389,7000,151.16292808298022,1213.70166015625
266,358424,7000,151.00832383905072,1203.9697265625
267,360202,7000,151.2906915609492,1205.02783203125
268,365506,7000,150.42734614002984,1220.48193359375
269,350661,7000,150.06511271302588,1181.0966796875
270,347787,7000,150.63568740396295,1177.5400390625
271,352233,7000,151.27560487599112,1180.69921875
272,350995,7000,150.20534327509813,1184.12744140625
273,356480,7000,151.31943893095013,1204.31298828125
274,353742,7000,149.9924924710067,1195.71630859375
275,352617,7000,149.4742210879922,1187.353515625
276,354928,7000,151.42689293494914,1196.84326171875
277,352654,7000,149.98857803898863,1189.607421875
278,350265,7000,152.21604537998792,1186.0078125
279,349288,7000,150.48180657601915,1176.6552734375
280,352659,7000,150.26869436597917,1187.96484375
281,352712,7000,148.988216780941,1184.12451171875
282,355522,7000,150.9724043450551,1194.03466796875
283,349244,7000,151.11419357708655,1180.04736328125
284,356456,7000,152.23668142501265,1206.6669921875
285,346572,7000,150.62446523702238,1175.51318359375
286,355056,7000,150.1823537920136,1188.44970703125
287,351429,7000,150.4760600749869,1179.51513671875
288,347824,7000,150.4813239040086,1179.5810546875
289,355211,7000,150.76518464903347,1196.20654296875
290,350205,7000,150.14950300601777,1188.8623046875
291,347350,7000,150.54559601203073,1178.212890625
292,353908,7000,152.7452854779549,1194.189453125
293,351331,7000,149.58525867701974,1187.271484375
294,344133,7000,148.8346129040001,1171.576171875
295,349308,7000,150.37894238799345,1180.19677734375
296,349594,7000,150.72191843797918,1180.11083984375
297,351285,7000,150.6498311359901,1191.4658203125
298,347855,7000,151.204995600041,1174.16015625
299,356134,7000,151.12838915898465,1192.38671875
300,351807,7000,149.88288884493522,1185.3525390625
