frame,camera,psnr,d_ssim,lpips
1,cam00,27.369827270507812,0.08795887231826782,0.21940183639526367
1,cam09,22.660594940185547,0.16561317443847656,0.26808977127075195
1,cam19,24.889366149902344,0.1412944793701172,0.26523736119270325
2,cam00,27.088903427124023,0.08788865804672241,0.21151258051395416
2,cam09,22.579181671142578,0.17000222206115723,0.25949394702911377
2,cam19,16.976308822631836,0.1705898642539978,0.289998322725296
3,cam00,26.401336669921875,0.09455150365829468,0.21936123073101044
3,cam09,22.508411407470703,0.17597967386245728,0.26213738322257996
3,cam19,21.427244186401367,0.1656140685081482,0.28474724292755127
4,cam00,25.686983108520508,0.09890085458755493,0.22361429035663605
4,cam09,22.402362823486328,0.18162167072296143,0.2650827467441559
4,cam19,20.880815505981445,0.17397695779800415,0.2965637445449829
5,cam00,25.095664978027344,0.10681533813476562,0.2365185171365738
5,cam09,22.199045181274414,0.1878300905227661,0.2766236364841461
5,cam19,20.094532012939453,0.18903988599777222,0.31551462411880493
6,cam00,24.606456756591797,0.10964357852935791,0.23971489071846008
6,cam09,21.906633377075195,0.19131892919540405,0.27582624554634094
6,cam19,19.696287155151367,0.2010214924812317,0.3298887312412262
7,cam00,23.891767501831055,0.11695992946624756,0.2489258348941803
7,cam09,21.66798973083496,0.1991172432899475,0.28813955187797546
7,cam19,19.062477111816406,0.21800947189331055,0.34935837984085083
8,cam00,22.816749572753906,0.12263023853302002,0.25226444005966187
8,cam09,21.57080841064453,0.20677858591079712,0.2941230535507202
8,cam19,18.806747436523438,0.22839325666427612,0.36209386587142944
9,cam00,21.758987426757812,0.13092327117919922,0.2635369598865509
9,cam09,21.401819229125977,0.21426153182983398,0.30128034949302673
9,cam19,18.42173957824707,0.2418283224105835,0.373460054397583
10,cam00,21.16578483581543,0.13374769687652588,0.26535895466804504
10,cam09,21.406877517700195,0.2174626588821411,0.30169248580932617
10,cam19,18.0062313079834,0.24988949298858643,0.38076943159103394
