frame,camera,psnr,d_ssim,lpips
1,cam00,26.289831161499023,0.09561198949813843,0.22916990518569946
1,cam09,21.343303680419922,0.18646472692489624,0.28127142786979675
1,cam19,23.5386905670166,0.161554753780365,0.28376859426498413
2,cam00,26.53127098083496,0.09198695421218872,0.21652455627918243
2,cam09,21.51770782470703,0.17958080768585205,0.26792028546333313
2,cam19,21.93833351135254,0.16819864511489868,0.2950003445148468
3,cam00,26.584739685058594,0.09407967329025269,0.22572912275791168
3,cam09,21.32217788696289,0.189425528049469,0.2867632508277893
3,cam19,23.547550201416016,0.15908527374267578,0.2822703719139099
4,cam00,26.546875,0.09594208002090454,0.2262101173400879
4,cam09,21.315034866333008,0.19316989183425903,0.29066240787506104
4,cam19,20.879850387573242,0.17936068773269653,0.3082498013973236
5,cam00,26.555286407470703,0.09569162130355835,0.23314231634140015
5,cam09,21.19469451904297,0.19432276487350464,0.29796841740608215
5,cam19,23.563697814941406,0.16801244020462036,0.30307382345199585
6,cam00,26.492780685424805,0.09483760595321655,0.2267487496137619
6,cam09,21.24522590637207,0.18527579307556152,0.2776322364807129
6,cam19,23.529666900634766,0.16194677352905273,0.28678518533706665
7,cam00,26.661258697509766,0.0953710675239563,0.22447042167186737
7,cam09,21.048559188842773,0.18803608417510986,0.28476253151893616
7,cam19,23.84500503540039,0.15976518392562866,0.28065887093544006
8,cam00,25.452302932739258,0.10050350427627563,0.23520652949810028
8,cam09,22.025976181030273,0.18403959274291992,0.2796902060508728
8,cam19,22.875301361083984,0.17234420776367188,0.3000965416431427
9,cam00,27.11113929748535,0.0921056866645813,0.22260019183158875
9,cam09,22.1761417388916,0.1784108281135559,0.26962167024612427
9,cam19,23.644948959350586,0.15881067514419556,0.2796875238418579
10,cam00,27.05665397644043,0.08938586711883545,0.22033271193504333
10,cam09,21.63038444519043,0.18131208419799805,0.2701043486595154
10,cam19,23.941696166992188,0.16057056188583374,0.2802022099494934
