filename,psnr,d_ssim,lpips
cam00.png,32.70028305053711,0.04460543394088745,0.18998029828071594
cam08.png,29.20134162902832,0.07315933704376221,0.20677313208580017
cam16.png,29.839813232421875,0.06094270944595337,0.18950416147708893
cam00.png,32.425262451171875,0.041675865650177,0.1801203191280365
cam08.png,29.03148651123047,0.06783932447433472,0.19272059202194214
cam16.png,30.120716094970703,0.05989474058151245,0.18555089831352234
cam00.png,32.49455261230469,0.043003737926483154,0.18497145175933838
cam08.png,28.450014114379883,0.07386362552642822,0.20018737018108368
cam16.png,31.690563201904297,0.05555105209350586,0.17837250232696533
cam00.png,31.609088897705078,0.043408334255218506,0.1894194483757019
cam08.png,28.395017623901367,0.0720033049583435,0.2062106877565384
cam16.png,31.42535972595215,0.0557902455329895,0.18354648351669312
cam00.png,33.34803771972656,0.04362630844116211,0.18811526894569397
cam08.png,29.8521728515625,0.0668715238571167,0.19954727590084076
cam16.png,31.875778198242188,0.05541956424713135,0.18321006000041962
cam00.png,22.754602432250977,0.08522546291351318,0.25021272897720337
cam08.png,27.10578727722168,0.08174210786819458,0.20593225955963135
cam16.png,31.456130981445312,0.05435663461685181,0.17511406540870667
cam00.png,31.739181518554688,0.04417139291763306,0.18805405497550964
cam08.png,29.712705612182617,0.06586861610412598,0.20024223625659943
cam16.png,31.765296936035156,0.05508702993392944,0.18117883801460266
cam00.png,29.39177894592285,0.053225815296173096,0.19442591071128845
cam08.png,27.716779708862305,0.07268846035003662,0.20817208290100098
cam16.png,31.09149932861328,0.05598217248916626,0.18072770535945892
cam00.png,31.880125045776367,0.04509073495864868,0.18887580931186676
cam08.png,29.139156341552734,0.07138192653656006,0.20826731622219086
cam16.png,30.89858055114746,0.05845236778259277,0.1852981001138687
cam00.png,29.262222290039062,0.04762011766433716,0.1953456699848175
cam08.png,27.81340789794922,0.07347327470779419,0.20991308987140656
cam16.png,30.96051788330078,0.056413471698760986,0.18338963389396667
*** AVERAGE ***,30.1716,0.0593,0.1938
