iter,loss
100,0.16109291
200,0.1374009
300,0.11645976
400,0.085024163
500,0.10148478
600,0.080642417
700,0.082979932
800,0.097567499
900,0.05003535
1000,0.082072668
1100,0.058579616
1200,0.064834476
1300,0.047203526
1400,0.0438671
1500,0.043342218
1600,0.037232518
1700,0.029000875
1800,0.026862007
1900,0.024499783
2000,0.028030973
2100,0.027791828
2200,0.03823027
2300,0.024844402
2400,0.03198608
2500,0.023377717
2600,0.02253147
2700,0.033093259
2800,0.0276273
2900,0.032079544
3000,0.032654874
3100,0.023935866
3200,0.037702821
3300,0.031649694
3400,0.027548086
3500,0.027366051
3600,0.02857323
3700,0.032945372
3800,0.024144152
3900,0.025409697
4000,0.021094762
4100,0.028817119
4200,0.022784255
4300,0.022738809
4400,0.029981643
4500,0.027965833
4600,0.027767913
4700,0.019880278
4800,0.023110211
4900,0.026524004
5000,0.019686447
*** LAST100_MEAN ***,0.019686447
