iter,loss
100,0.16115209
200,0.13793567
300,0.11651228
400,0.085234888
500,0.10233924
600,0.080937386
700,0.086743921
800,0.10119896
900,0.050687652
1000,0.082964331
1100,0.057258666
1200,0.062883615
1300,0.046854392
1400,0.044074364
1500,0.048388135
1600,0.038648833
1700,0.032781132
1800,0.027866825
1900,0.025204699
2000,0.0282088
2100,0.032232501
2200,0.037916481
2300,0.027703255
2400,0.032085098
2500,0.025945231
2600,0.023946706
2700,0.037632864
2800,0.028214261
2900,0.03325643
3000,0.033844389
3100,0.024915379
3200,0.037442692
3300,0.032312594
3400,0.027878914
3500,0.028826805
3600,0.029771501
3700,0.037214972
3800,0.026623014
3900,0.027873557
4000,0.022374613
4100,0.029613003
4200,0.023982659
4300,0.024036784
4400,0.029689055
4500,0.027832715
4600,0.029598342
4700,0.021441614
4800,0.023888055
4900,0.028268557
5000,0.020326484
*** LAST100_MEAN ***,0.020326484
