iter,loss
100,0.16096146
200,0.13922298
300,0.11660425
400,0.085404009
500,0.10371299
600,0.080780916
700,0.08928895
800,0.11399569
900,0.050111428
1000,0.085476503
1100,0.058640949
1200,0.064863786
1300,0.048247766
1400,0.044416837
1500,0.049521841
1600,0.03847865
1700,0.03285731
1800,0.027209438
1900,0.024550851
2000,0.028919682
2100,0.03144202
2200,0.037521511
2300,0.028865378
2400,0.033675667
2500,0.026120381
2600,0.024260081
2700,0.043023221
2800,0.028546924
2900,0.032387439
3000,0.033244375
3100,0.024925295
3200,0.038487293
3300,0.033416972
3400,0.028432051
3500,0.031231189
3600,0.030342381
3700,0.042773277
3800,0.028105851
3900,0.029188603
4000,0.02223799
4100,0.029598858
4200,0.024882192
4300,0.024363007
4400,0.030100696
4500,0.028386645
4600,0.028377952
4700,0.023535181
4800,0.025370061
4900,0.027165636
5000,0.021059504
*** LAST100_MEAN ***,0.021059504
