iter,loss
100,0.16099963
200,0.1383909
300,0.11673769
400,0.08546868
500,0.10254052
600,0.080919012
700,0.087584145
800,0.10097295
900,0.051562816
1000,0.085832343
1100,0.059532642
1200,0.065466277
1300,0.04737027
1400,0.044317625
1500,0.047877561
1600,0.03786397
1700,0.033008426
1800,0.027442453
1900,0.025667371
2000,0.029743006
2100,0.032251067
2200,0.038252324
2300,0.029482879
2400,0.034119289
2500,0.026012387
2600,0.024696257
2700,0.041943856
2800,0.029185792
2900,0.03316842
3000,0.033619002
3100,0.024306502
3200,0.039306909
3300,0.032496877
3400,0.027393021
3500,0.028568871
3600,0.027424019
3700,0.039345004
3800,0.02362415
3900,0.024817931
4000,0.019558661
*** LAST100_MEAN ***,0.019558661
