iter,loss
100,0.16132672
200,0.13740654
300,0.11707003
400,0.085358895
500,0.10145925
600,0.08119455
700,0.090022206
800,0.10202189
900,0.050281651
1000,0.082701944
1100,0.055842578
1200,0.068156868
1300,0.045813434
1400,0.043940648
1500,0.04924053
1600,0.03773101
1700,0.033324949
1800,0.027145509
1900,0.024200205
2000,0.029074233
2100,0.02812342
2200,0.038030647
2300,0.02890555
2400,0.03267546
2500,0.02540778
2600,0.022998648
2700,0.039397642
2800,0.027458463
2900,0.032803372
3000,0.03339183
3100,0.024771713
3200,0.039200202
3300,0.03312435
3400,0.027997889
3500,0.030993378
3600,0.027705487
3700,0.039159812
3800,0.023770187
3900,0.024508478
4000,0.019195721
*** LAST100_MEAN ***,0.019195721
