iter,loss
100,0.1609349
200,0.13708809
300,0.11613481
400,0.084802017
500,0.10119443
600,0.080159917
700,0.087186083
800,0.10671319
900,0.048680246
1000,0.083073974
1100,0.052807394
1200,0.062252257
1300,0.044728473
1400,0.04168015
1500,0.043780923
1600,0.036914751
1700,0.029793851
1800,0.02638768
1900,0.024209769
2000,0.027837612
2100,0.026509881
2200,0.036754481
2300,0.024370404
2400,0.030198373
2500,0.022489905
2600,0.021671211
2700,0.030095622
2800,0.026017716
2900,0.030480977
3000,0.031078149
3100,0.023839977
3200,0.037746683
3300,0.032173738
3400,0.02699624
3500,0.028587131
3600,0.028624106
3700,0.029938579
3800,0.023810418
3900,0.025481556
4000,0.020785399
4100,0.028617145
4200,0.023088247
4300,0.023470767
4400,0.029076459
4500,0.027057717
4600,0.029242964
4700,0.020420723
4800,0.020811243
4900,0.027178833
5000,0.018843489
5100,0.028908348
5200,0.025888769
5300,0.025561415
5400,0.027997384
5500,0.017557982
5600,0.020201437
5700,0.025779545
5800,0.019914189
5900,0.019465145
6000,0.020169646
6100,0.026107946
6200,0.024902318
6300,0.02123367
6400,0.020312626
6500,0.020380339
6600,0.025925465
6700,0.017032743
6800,0.023799079
6900,0.021208432
7000,0.019099476
*** LAST100_MEAN ***,0.019099476
