iter,loss
100,0.16105138
200,0.1365422
300,0.11629687
400,0.084725596
500,0.10059217
600,0.079907939
700,0.087843962
800,0.10053422
900,0.049095623
1000,0.081025884
1100,0.057103448
1200,0.065080151
1300,0.04490009
1400,0.042131223
1500,0.045258224
1600,0.036110219
1700,0.030053373
1800,0.026060499
1900,0.023285065
2000,0.027588595
2100,0.028684039
2200,0.037233114
2300,0.026975881
2400,0.031230263
2500,0.023277162
2600,0.021312619
2700,0.036061078
2800,0.026457552
2900,0.030995741
3000,0.031839799
3100,0.02358117
3200,0.037664667
3300,0.034730785
3400,0.027446676
3500,0.02901645
3600,0.030498855
3700,0.035147041
3800,0.025274608
3900,0.026358398
4000,0.021460006
4100,0.027773812
4200,0.023220304
4300,0.023017213
4400,0.028399153
4500,0.026554145
4600,0.027542422
4700,0.021282056
4800,0.022419613
4900,0.026089042
5000,0.01899581
5100,0.028112158
5200,0.026166242
5300,0.026953476
5400,0.027226789
5500,0.017661789
5600,0.019978775
5700,0.025994169
5800,0.019905951
5900,0.022895254
6000,0.02450132
6100,0.024273861
6200,0.025359046
6300,0.021161811
6400,0.019653348
6500,0.020257175
6600,0.02618501
6700,0.017373268
6800,0.024026506
6900,0.021520069
7000,0.022180337
*** LAST100_MEAN ***,0.022180337
