iter,loss
100,0.089373581
200,0.053632863
300,0.050440513
400,0.03913499
500,0.033680126
600,0.039584991
700,0.02891646
800,0.029190885
900,0.030169893
1000,0.021705216
1100,0.024187919
1200,0.021366496
1300,0.020925419
1400,0.015939623
1500,0.018635593
1600,0.020487947
1700,0.015461082
1800,0.013431654
1900,0.014426533
2000,0.014179759
2100,0.016107496
2200,0.01011491
2300,0.010968266
2400,0.013392825
2500,0.010447267
2600,0.008190494
2700,0.01458442
2800,0.0092778495
2900,0.010416222
3000,0.0078830384
3100,0.011164535
3200,0.0094482843
3300,0.0073875999
3400,0.0084778164
3500,0.0056267586
3600,0.005719929
3700,0.0076415306
3800,0.0068726395
3900,0.0084306598
4000,0.011982875
4100,0.0045548379
4200,0.0049341666
4300,0.0052369875
4400,0.0058543757
4500,0.0056634462
4600,0.0071701603
4700,0.0073295143
4800,0.0068316003
4900,0.0038607731
5000,0.0099609047
5100,0.010065902
5200,0.0044924547
5300,0.0062924088
5400,0.0042463238
5500,0.0049347421
5600,0.0076034698
5700,0.0052512055
5800,0.0030394159
5900,0.0032556052
6000,0.0039659822
6100,0.0050365049
6200,0.0058921743
6300,0.0041084918
6400,0.0036399541
6500,0.0028766107
6600,0.0063785301
6700,0.006060285
6800,0.002850499
6900,0.003728847
7000,0.0033998247
7100,0.0041230838
7200,0.0028377376
7300,0.0026842935
7400,0.0028094887
7500,0.0029468108
7600,0.0032244583
7700,0.003503901
7800,0.0024627063
7900,0.0029663108
8000,0.0078170747
8100,0.0064771893
8200,0.0026329295
8300,0.0043783011
8400,0.0048884968
8500,0.0056726844
8600,0.0045082318
8700,0.0041387677
8800,0.0055040661
8900,0.0040868251
9000,0.0020806966
9100,0.0053041941
9200,0.0073538534
9300,0.0078838924
9400,0.0024518988
9500,0.0063451114
9600,0.0025182085
9700,0.0026829662
9800,0.0066998703
9900,0.0026988545
10000,0.0026714311
10100,0.0024269009
10200,0.0020698896
10300,0.006336641
10400,0.0018173656
10500,0.0019061796
10600,0.0066355672
10700,0.0029868123
10800,0.0017326719
10900,0.0020908799
11000,0.0017294375
11100,0.00496491
11200,0.0051842546
11300,0.0035210578
11400,0.0017347496
11500,0.0059732976
11600,0.0016978367
11700,0.0017550853
11800,0.0066602249
11900,0.0055560814
12000,0.0015307983
12100,0.0031177755
12200,0.002049777
12300,0.003735113
12400,0.0068669971
12500,0.0022162085
12600,0.0017941999
12700,0.0048207021
12800,0.0035996353
12900,0.0064005428
13000,0.0032037646
13100,0.0020373971
13200,0.0020346947
13300,0.0056009367
13400,0.0043679983
13500,0.0019986997
13600,0.0019430338
13700,0.0020477725
13800,0.0014704735
13900,0.005569174
14000,0.0040957872
14100,0.0056047463
14200,0.0043809721
14300,0.0045218184
14400,0.0029484415
14500,0.0013050964
14600,0.0054276632
14700,0.0014623657
14800,0.0042192033
14900,0.0013778151
15000,0.0016821406
15100,0.0014501461
15200,0.0016883072
15300,0.001358549
15400,0.0017778915
15500,0.005649657
15600,0.0055819005
15700,0.0050750263
15800,0.0013326799
15900,0.0014142841
16000,0.0026930131
16100,0.0026845748
16200,0.0016948831
16300,0.0014867719
16400,0.0014465203
16500,0.0012761776
16600,0.0013846674
16700,0.0012307222
16800,0.0013260057
16900,0.0017022251
17000,0.001710429
17100,0.005154842
17200,0.0015906834
17300,0.0054725674
17400,0.0016485425
17500,0.0025314898
17600,0.0012444938
17700,0.0055188779
17800,0.0012594507
17900,0.001245279
18000,0.0035683438
18100,0.0014422415
18200,0.0018316351
18300,0.0027296981
18400,0.0011809031
18500,0.0011511911
18600,0.0023756116
18700,0.0011600936
18800,0.0024262464
18900,0.0015351078
19000,0.0013177304
19100,0.0048977155
19200,0.0036215768
19300,0.0044504036
19400,0.0012455928
19500,0.0024936269
19600,0.004584332
19700,0.0011158434
19800,0.0014490577
19900,0.0014130949
20000,0.0031860331
20100,0.0013678386
20200,0.0015189662
20300,0.0011337406
20400,0.0015698199
20500,0.0033287792
20600,0.0035246536
20700,0.0010010328
20800,0.0013531891
20900,0.0012713955
21000,0.004476916
21100,0.0013749202
21200,0.0011241258
21300,0.0045918673
21400,0.0044180779
21500,0.0024382307
21600,0.0011337189
21700,0.0021680568
21800,0.0012327509
21900,0.0045430465
22000,0.0012558617
22100,0.0016409266
22200,0.0011189391
22300,0.0013093706
22400,0.0042795986
22500,0.0013467144
22600,0.0013908651
22700,0.00098113436
22800,0.0011308619
22900,0.0013191601
23000,0.0034164805
23100,0.0010469295
23200,0.0013006625
23300,0.0011888538
23400,0.00099357823
23500,0.0012973694
23600,0.0021531936
23700,0.0012026161
23800,0.0043115141
23900,0.00097473967
24000,0.001027626
24100,0.0045518889
24200,0.0042861411
24300,0.0012927372
24400,0.0013491297
24500,0.00089100876
24600,0.0014034761
24700,0.0029607387
24800,0.0020967531
24900,0.0015407499
25000,0.0019565218
25100,0.00092556386
25200,0.00092663901
25300,0.0019838456
25400,0.0012521469
25500,0.0012373943
25600,0.0012795359
25700,0.0012437619
25800,0.0011155183
25900,0.0010217412
26000,0.0010671625
26100,0.0041614338
26200,0.0012199885
26300,0.0040934035
26400,0.0042840773
26500,0.0020259996
26600,0.0019606126
26700,0.0029264642
26800,0.002985016
26900,0.0041020098
27000,0.0010087218
27100,0.00096647302
27200,0.00096918736
27300,0.0012754919
27400,0.0018898468
27500,0.0011902337
27600,0.0030611679
27700,0.0027485657
27800,0.0028104333
27900,0.0029526954
28000,0.001141771
28100,0.0012378832
28200,0.0013223708
28300,0.001231057
28400,0.001940646
28500,0.00095519086
28600,0.0010373308
28700,0.0008743254
28800,0.0029427949
28900,0.001969185
29000,0.00089476258
29100,0.002759028
29200,0.0040388969
29300,0.0039914749
29400,0.0010657476
29500,0.0010437086
29600,0.0010267757
29700,0.00092234882
29800,0.0039994442
29900,0.0039527738
30000,0.0039071487
*** LAST100_MEAN ***,0.0039071487
