filename,psnr,ssim,lpips
r_000.png,23.92478370666504,0.9384846687316895,0.059083256870508194
r_001.png,24.37346076965332,0.9385194778442383,0.05598713830113411
r_002.png,24.40960693359375,0.9312396049499512,0.06304070353507996
r_003.png,23.67181396484375,0.925948977470398,0.08155233412981033
r_004.png,22.359378814697266,0.9253571629524231,0.07081875205039978
r_005.png,22.043241500854492,0.9094836115837097,0.086236871778965
r_006.png,19.59612464904785,0.942132830619812,0.0686771348118782
r_007.png,23.567113876342773,0.9203258156776428,0.06759104877710342
r_008.png,23.821186065673828,0.9225359559059143,0.0726107805967331
r_009.png,22.04314422607422,0.9362601041793823,0.0737936794757843
r_010.png,23.24725341796875,0.9110226631164551,0.08272071927785873
r_011.png,23.595664978027344,0.9360294938087463,0.0694303959608078
r_012.png,23.25098991394043,0.9232062697410583,0.07471984624862671
r_013.png,20.37408447265625,0.9233380556106567,0.08510944992303848
r_014.png,23.215761184692383,0.9214019775390625,0.0739465281367302
r_015.png,23.533384323120117,0.9390435218811035,0.061532240360975266
r_016.png,22.64961051940918,0.9287368655204773,0.0649593248963356
r_017.png,23.203832626342773,0.9223613142967224,0.07265287637710571
r_018.png,20.095327377319336,0.9388936161994934,0.07256387919187546
r_019.png,21.779085159301758,0.9263118505477905,0.06889434158802032
*** AVERAGE ***,22.7377,0.9280,0.0713
