filename,psnr,ssim,lpips
r_000.png,15.438188552856445,0.9343089461326599,0.11382660269737244
r_001.png,17.72467803955078,0.9394899010658264,0.12673652172088623
r_002.png,16.878986358642578,0.9458988308906555,0.1007857471704483
r_003.png,18.050628662109375,0.949917733669281,0.09536348283290863
r_004.png,22.220970153808594,0.9635365605354309,0.09179148823022842
r_005.png,23.867862701416016,0.9694427251815796,0.06222943216562271
r_006.png,22.741464614868164,0.9678101539611816,0.06851232051849365
r_007.png,19.485261917114258,0.9522026777267456,0.10035745054483414
r_008.png,21.42805290222168,0.9654179811477661,0.05988955870270729
r_009.png,26.751144409179688,0.9775043725967407,0.0650891363620758
r_010.png,26.55272102355957,0.9785789847373962,0.04787490889430046
r_011.png,25.205595016479492,0.9710105657577515,0.069551482796669
r_012.png,27.151103973388672,0.975863516330719,0.06973637640476227
r_013.png,25.236793518066406,0.971140444278717,0.06889870017766953
r_014.png,29.57600975036621,0.9816683530807495,0.0624171644449234
r_015.png,19.67003631591797,0.955345869064331,0.08077133446931839
r_016.png,22.78714942932129,0.9694941639900208,0.07322271913290024
r_017.png,21.62572479248047,0.9661675095558167,0.06855782866477966
r_018.png,23.14798355102539,0.9726997017860413,0.04956571012735367
r_019.png,23.335712432861328,0.9693736433982849,0.0637868121266365
*** AVERAGE ***,22.4438,0.9638,0.0769
