iter,loss
100,0.017799247
200,0.014732378
300,0.022756744
400,0.013977282
500,0.013475489
600,0.020553138
700,0.022235015
800,0.015525073
900,0.01832692
1000,0.022103792
1100,0.016698439
1200,0.015406081
1300,0.016145397
1400,0.015762998
1500,0.016657729
1600,0.014174975
1700,0.013431372
1800,0.016610473
1900,0.013733629
2000,0.028237958
2100,0.016839439
2200,0.015149874
2300,0.013141552
2400,0.01862213
2500,0.016100366
2600,0.016587488
2700,0.014067975
2800,0.018540466
2900,0.017243497
3000,0.013343934
3100,0.021446802
3200,0.022123381
3300,0.024301069
3400,0.017402235
3500,0.020576082
3600,0.020337597
3700,0.0153383
3800,0.019214381
3900,0.016670596
4000,0.019773081
4100,0.015658267
4200,0.014565172
4300,0.016433811
4400,0.016034391
4500,0.017114153
4600,0.017491395
4700,0.014946949
4800,0.018958505
4900,0.015222603
5000,0.018940786
*** LAST100_MEAN ***,0.018940786
